gene,CC1_1,CC1_10,CC1_11,CC1_12,CC1_13,CC1_14,CC1_15,CC1_16,CC1_17,CC1_18,CC1_19,CC1_2,CC1_20,CC1_3,CC1_4,CC1_5,CC1_6,CC1_7,CC1_8,CC1_9,CC2_1,CC2_10,CC2_11,CC2_12,CC2_13,CC2_14,CC2_15,CC2_16,CC2_17,CC2_18,CC2_19,CC2_2,CC2_20,CC2_3,CC2_4,CC2_5,CC2_6,CC2_7,CC2_8,CC2_9,F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F3,F4,F5,F6,F7,F8,F9,GC1,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC2,GC20,GC3,GC4,GC5,GC6,GC7,GC8,GC9,Viv1,Viv10,Viv11,Viv12,Viv13,Viv14,Viv15,Viv16,Viv17,Viv18,Viv19,Viv2,Viv20,Viv3,Viv4,Viv5,Viv6,Viv7,Viv8,Viv9
ENSMUSG00000118866,0.4312130818012368,0.43396264913978594,0.5788690124855401,0.35063225460306646,0.4317436244816216,0.5685958948322534,0.2905724211258559,0.43033019295622715,0.25685937411934,0.4312768882063604,0.4316861687501481,0.42942980921147134,0.43004310433574483,0.4295177357275173,0.43014789658671154,0.4387653728556645,0.42439270444035443,0.4323962159828109,0.2463594293355098,0.42955597799910544,0.8029097615776184,0.46085605948434166,0.39870890806141646,0.7589514122202969,0.5002721110494854,0.1455113448681041,0.6326397790152742,0.5001513327028108,0.513584458391767,0.35835451090053694,0.6240208322072976,0.4012487844569508,0.5654563546542887,0.48658821465662366,0.9333275064862837,0.9072360425000278,0.25069399868903386,0.344986243559851,0.78930253287257,0.5097558213991326,0.43368641991434104,0.42915572502261967,0.43176192681205006,0.4323665221325671,0.5720925894716367,0.47872153392758493,0.52190841898215,0.7222561610085861,0.46294667731822436,0.10978712548922209,0.4237619242620553,0.4311345802458176,0.0,0.22383863092179976,0.42888750919572166,0.43448777012578366,0.4857416078694121,0.493566838445894,0.4297109324871865,0.43035327480606894,0.9228547279953707,0.341091835728548,0.7508100889024636,0.35461792153606503,0.47414456631158713,0.7963939137604884,0.52190841898215,0.7222561610085861,1.0,0.311182121494888,0.8131255832063428,1.0,0.4027899920113319,0.9023879343618703,0.47535035809605847,0.46567818359687985,0.9253402795310349,0.5610576030510014,0.9391668425269522,0.33894627336501437,0.8725553494928573,0.47758771345330686,0.4721898856735588,0.8311396116055064,0.912375505267721,0.4719288873008387,0.7626141035550182,0.5695366131454476,0.7644735582917875,0.7684160628987549,0.7703667982415493,0.34176780826785674,0.769946395129842,0.573100612869119,0.36133814141916004,0.47144573250519317,0.6238798510245014,0.48336466596146976,0.47374143595989116,0.9302242411545171
ENSMUSG00000118841,0.4659390289902929,0.4270351524421343,0.011627906976744208,0.01162790697674421,0.4718869606688348,0.17393360533205088,0.8065707991071595,0.456040932712617,0.4677387831805622,0.4666543647254933,0.011627906976744208,0.4459467005305912,0.4528223726166074,0.44693244763352796,0.4539972020360592,0.5506080158013567,0.38947555100019615,0.01162790697674421,0.011627906976744214,0.44736118301533295,0.6085036772101842,0.1900008400461447,0.15836794422971903,0.6649130690586543,0.15372102518616426,0.3259583618466466,0.03875968992248058,0.023255813953488413,0.20155038759689925,0.13953488372093026,0.043438539120189176,0.1773002508213915,0.03875968992248058,0.4634390023667007,0.5574370002715983,0.16882144988668693,0.43157643904299325,0.011627906976744214,0.12125228497764667,0.5270784725711101,0.4936677050395232,0.44287393355117294,0.472092148705484,0.47887028700152856,0.7630184818214653,0.5528735852814799,1.0,0.8527131782945736,0.821705426356589,0.7906976744186047,0.6744186046511629,0.46505894543517834,0.6124031007751938,0.011627906976744219,0.439866956973273,0.5026516689777105,0.4757581601520015,0.9142978162535553,0.44909838294752547,0.4562997041007612,0.535724936228232,0.29275090942240795,0.6577847364488023,0.2206613496195563,0.5629957026132154,0.5887968785995914,0.45736434108527135,0.1472868217054264,0.875968992248062,0.28682170542635654,0.10852713178294571,0.875968992248062,0.1472868217054264,0.19409271964221275,0.5603290536560757,0.19150023827191712,0.5926317978509767,0.2013214978293358,0.6429657349956382,0.3941295324999824,0.193567640154881,0.17421043640451406,0.8350686950616639,0.6273769869024785,0.18872303038971705,0.5678957510290854,0.023255813953488413,0.06201550387596899,0.0,0.06201550387596899,0.2790697674418605,0.011627906976744217,0.10852713178294571,0.7636205875901918,0.0859574977979533,0.35306120925730844,0.4517018351541186,0.5426051431213372,0.5638872389014749,0.4555982109846397
ENSMUSG00002076161,0.3645486694639794,0.4151201294405215,0.08823529411764708,0.08823529411764708,0.37025530573974075,0.18960429504521958,0.49533297973587687,0.3550521186742418,0.16624647610045307,0.36523498549389793,0.08823529411764709,0.34536738881197365,0.3519641289675226,0.3463131461744261,0.3530912979642786,0.44578280893990885,0.291187158126625,0.08823529411764708,0.08823529411764709,0.3467244886401335,0.5227662794814465,0.19607843137254904,0.21519092871322523,0.6754027657267114,0.3298860317930248,0.3763366360926325,0.4705882352941177,0.23529411764705882,0.0,0.21568627450980388,0.21487394865486745,0.16649043483688958,0.03921568627450983,0.44193964194919694,0.46908580013271145,0.11350143532427472,0.41846579461191397,0.0882352941176471,0.15788099907148093,0.5997230495306732,0.3911524499331192,0.3424192776937894,0.37045216971810807,0.37695533282972893,0.5075162812351431,0.36783295341209465,1.0,0.8823529411764706,0.7058823529411764,0.2745098039215686,0.13725490196078433,0.3637042890956849,0.5098039215686274,0.08823529411764712,0.3395342879953175,0.3997719528596154,0.4510154349492187,0.8586242748939723,0.3483912139300464,0.35530039223730914,0.44626242341485656,0.32759952417781,0.67106209260154,0.13099912713121936,0.34863070141512575,0.5020508059228707,0.5490196078431373,0.3725490196078432,0.803921568627451,0.19607843137254904,0.11764705882352938,0.803921568627451,0.058823529411764774,0.1471603230851482,0.3536894913485233,0.0858571984257538,0.5060820121030892,0.0960198386629758,0.5589922470236809,0.44539181955800133,0.08799646187149451,0.21283374129621419,0.5629551415359495,0.5426056027332393,0.08298345657973394,0.3393350213320784,0.11764705882352938,0.058823529411764774,0.058823529411764774,0.19607843137254904,0.1764705882352941,0.0882352941176471,0.0,0.5100324981816879,0.09514649621124259,0.30577158491122014,0.5343009968705971,0.3873127922158948,0.34693940463298667,0.41911156493869356
ENSMUSG00000030324,0.46117137258223734,0.20977952905275712,0.11786501781011195,0.117865017810112,0.45654437222458993,0.5936296365776396,0.2494594726121883,0.46887127525295225,0.5141299110265537,0.46061490036945935,0.11786501781011195,0.47672375548316537,0.4713750495933792,0.4759569255254017,0.47046112918578786,0.3953058829583766,0.520653652999734,0.11786501781011195,0.11786501781011201,0.4756234047534492,0.701971893630496,0.6010336190918328,0.5561412163001181,0.609689622423016,0.43384557847566735,0.2628097058654935,0.3582779978896635,0.33058239506581955,0.7196455093022907,0.9453028778315979,0.35470490426840234,0.6089917003193582,0.41973819559384307,0.20743988891642784,0.6731811308618258,0.4719679646886761,0.2094876649662948,0.11786501781011201,0.5145568810513899,0.24770358700253947,0.43960074922424863,0.47911411480151933,0.4563847528526348,0.4511119202084525,0.15527002054137123,0.2750249915204854,0.25532518277492233,0.1572351800002636,0.18441445323303696,0.31767837790525766,0.15332884794673385,0.461856005013199,0.19867701058562104,0.11786501781011206,0.48145329461280983,0.43261196613095076,0.20664814859061098,0.22123999303186534,0.47427200646208034,0.4686699724522136,0.6609401368797326,0.3021894995849768,0.6014798268142342,0.7414110143543794,0.2648902887538782,0.6908614435730176,0.37065298808174507,0.4720398850341332,0.8527655402067946,0.7705844265388277,0.21474672419138785,0.8527655402067946,0.709056512620303,0.36601414712578384,0.26756025331541927,0.41806085654515945,0.6930235237596024,0.42907215048529807,0.7214011768676731,0.32696297417128856,0.4203787639064933,0.5825889812273284,0.20365641778263335,0.7126124329133626,0.4149471365436678,0.2599841478142621,0.23573003562022388,1.0,0.0,0.3769081993921306,0.5162411174630599,0.11786501781011206,0.3250339632699124,0.15528321233412146,0.35020578750429743,0.2569409007124159,0.26864485705897617,0.2853062010499249,0.2639976439651417,0.9288055913600293
ENSMUSG00000092341,0.48154466835210896,0.5215731712414055,0.16706793493872438,0.1670679349387244,0.4885214198482686,0.15554804396899027,0.8350212211626421,0.46993448825142975,0.43664087533774243,0.4823837364400665,0.1670679349387244,0.45809424641869323,0.4661592105281962,0.4592504992048608,0.467537251392294,0.5808589362922576,0.39185522447474574,0.1670679349387244,0.16706793493872438,0.45975339338356425,0.4145247026826035,0.16127721400595216,0.14837796029460973,0.4994026142717237,0.1813409268962425,0.4083680409723433,0.11296670587138696,0.10758647474326732,0.14241740902943567,0.05572564443450506,0.11772888736169063,0.15394734362426923,0.09661460875503236,0.5563725205595762,0.38993468253595864,0.18282009393248613,0.5259143005204429,0.1670679349387244,0.15279719638785264,0.6123038001763293,0.5140696018194714,0.4544899797963398,0.48876209946919486,0.4967126592694544,0.8681415843783716,0.6009966837656926,0.9999999999999998,0.9520659690380451,0.8988483428484326,0.7680796411466357,0.7852415862199567,0.4805123558455544,0.6929949719733246,0.16706793493872438,0.4509628834084535,0.5246075311762117,0.5681487111538311,0.9513786778233708,0.4617910785623932,0.47023801959088873,0.37947972199694213,0.36431576140782873,0.4979194341335104,0.149519193859972,0.6163403690116009,0.4050353330209917,0.45621830064750984,0.16821748477346293,0.5433166640867062,0.18715922836547544,0.22036146264991857,0.5433166640867062,0.1077748633038022,0.2381886137717163,0.612298109776826,0.21783774107562937,0.4068819529168923,0.22210580108308112,0.43111913854648964,0.44672310440785695,0.2187361793303584,0.15316094158077703,0.8912088161755087,0.42361272433174113,0.21663083988081833,0.6237681430749478,0.1355904173117422,0.0,0.1985454525657066,0.12706435817620138,0.25589314559238435,0.16706793493872438,0.18177982045666846,0.868704954991433,0.15522929938138771,0.4453729876182304,0.5336569933091004,0.5854311909634049,0.6176918107845063,0.2627177676898691
ENSMUSG00000024041,0.39899959747952424,0.5088482984848061,0.2407674347288509,0.2407674347288509,0.4055420314303316,0.1785060326113124,0.5639726141611021,0.38811217566043216,0.18699467267789946,0.39978643180330864,0.24076743472885095,0.3770090139389771,0.3845719169649913,0.3780932875422583,0.38586417186898725,0.49213134206421544,0.314893511290947,0.24076743472885093,0.2407674347288509,0.3785648754940757,0.3554514247260619,0.17563043668202794,0.2061267478022279,0.5158557119730739,0.3326423709212997,0.44719194742752744,0.47372175463170413,0.28797045725056364,0.006374577199829923,0.10413902973088718,0.26204068032703975,0.1575222126145738,0.09764692612386006,0.5348113487456864,0.32807051183601166,0.14157745693600043,0.5120871221947015,0.24076743472885093,0.17757841534590177,0.6744623853886946,0.4294997850068788,0.3736291205414803,0.4057677282355111,0.41322334886264317,0.6236260825367153,0.41775863699577104,1.0000000000000002,0.97994934144196,0.7903252351096193,0.3265750676815585,0.27165212852047377,0.39803154861115864,0.5978618327753458,0.24076743472885093,0.37032159336804155,0.4393817059600183,0.5435973126867045,0.8992140654624342,0.38047571045822287,0.3883968115316545,0.3164289449694312,0.38896353142082574,0.5164297057725695,0.09047041072124147,0.4055910695430972,0.3448850403743381,0.5325681311979109,0.34459162519404823,0.49886088332407,0.12831632258407843,0.22869409346136088,0.49886088332407,0.04849775379471982,0.20366881527645714,0.40879658771634264,0.13305748783247018,0.3469412460305009,0.13818944362420135,0.3739292787554164,0.4790051200902131,0.13413777850242786,0.1965302125108325,0.6310373792597396,0.36557090928255903,0.13160629840075086,0.399700832583036,0.22087482092107052,0.0,0.26066004853663133,0.2381739057435815,0.17881566678858957,0.24076743472885093,0.08970110244070478,0.6260180220621763,0.16174710422704638,0.3738084378723717,0.6037494696050738,0.4301020982028143,0.4045193740105932,0.24122142079886683
ENSMUSG00000034837,0.36256108049717034,0.3580642246571367,0.2923824993747192,0.3673174078387546,0.3577981318010937,0.2919354658953377,0.6298633000868807,0.6269945102096562,0.6418171455618608,0.2892741569130723,0.29034357218063056,0.35803589391713886,0.35940854717896453,0.3604274701678457,0.6125351334519478,0.3474071302745713,0.364311526185578,0.28973887445140734,0.3470705849663271,0.28804081475763255,0.12127534056396262,0.44038770095938684,0.37030642737690456,0.14832418799350333,0.21330042518869907,0.36781435605384905,0.2997409561743318,0.30228290419950293,0.3024011857781759,0.30236571362402576,0.4228181142146571,0.3587258424138549,0.2861987949723899,0.35371126092964766,0.0970979940472177,0.13509610513180556,0.3456672031758694,0.36827575234414683,0.38025433336783987,0.6086819369309205,0.36946368050002293,0.3650358917989314,0.2873459091294751,0.35534980468800553,0.6331157475925843,0.42099269722654437,0.46839592217868864,0.6844886839495952,0.2769472174356703,1.0,0.5823698726402835,0.35333228418100515,0.42683314240606873,0.3543620309723009,0.3615730941068923,0.3491373029151245,0.3509623297029867,0.3763708440362649,0.3571075427387801,0.28986504706571226,0.11234994773872463,0.5485132420648792,0.1533337803808018,0.29042997468370674,0.43443198673978783,0.1252847307266145,0.29418361747802735,0.30423858527710124,0.0,0.3006189894011302,0.27215317821696405,0.0,0.3019303583189165,0.14215661165151805,0.4308914362610032,0.2280662599514623,0.10873013309710892,0.18735516262499302,0.08859392008454398,0.3693009668194019,0.31408229042570035,0.4560120758431801,0.5261322444844135,0.10390469499771877,0.12761128644686023,0.4409378557325644,0.2899884559883527,0.285967398656566,0.28933189451039704,0.28793982155459324,0.2872510294832192,0.5487543865231569,0.2873994711112414,0.6334606056784382,0.5557358496916328,0.4423565367727571,0.5783811316394394,0.4073591300076107,0.43561569306296133,0.10161741161855581
ENSMUSG00000119584,0.057783256006400524,0.10946573934007953,0.16166435789064199,0.4838196980903958,0.18671634762152786,0.21463773640517192,0.15002902629954384,0.23973616622350907,0.2256906650142765,0.2413467783788033,0.21422119256687747,0.1778853470666414,0.24009384648537577,0.1910952579937219,0.2773973160656056,0.13149232630171095,0.12425677471538207,0.16753165250774593,0.32859358638462366,0.25599260351574876,0.8012826396261853,0.7123629722618139,0.29137758503213773,0.48275514818946563,0.5334825485265086,0.5335356994628555,0.9383105165377491,0.7403985398323226,0.49851953963425794,0.9020724788209242,0.7170300693577757,0.48880272314378453,0.8976459513990431,0.12343979385941456,0.9031487790341408,0.8955206166634172,0.45099229429602117,0.4548079313297982,0.8998768097699253,0.6711136290176191,0.37819534052135717,0.41000000000000014,0.16598067194120916,0.0,0.30333333000000096,0.5,0.23443377549245495,0.6362156482776056,0.1186617415475769,0.22229301181538613,0.23076489056664037,0.10089533285716128,0.9573086662969189,0.41754469593501303,0.20977643421718264,0.13659565932921316,0.08749873782274364,0.13081712924950697,0.19248901115819905,0.2623207046547176,0.6908010073544151,1.0,0.46999999999999886,0.20428256654079308,0.41000000000000014,0.9299999999999997,0.3239868618519817,0.537352432560135,0.5573761609729596,0.6953121843551932,0.8978992458810653,0.5573761609729596,0.1271183677543379,0.8970209165627198,0.24389051644902973,0.9328559169653607,0.8998165771325459,0.5390498203291679,0.9039487004002336,0.9422828714809369,0.8977471385414225,0.46999999999999886,0.252835918592772,0.1700000000000017,0.8699999999999974,0.1700000000000017,0.45052624982487893,0.3138766322173617,0.4505262498248786,0.9589422648138205,0.8976741218254519,0.5826237225492984,0.9261301594537448,0.9363232137516513,0.9463735827897073,0.6871255779994295,0.661103214619818,0.6928236648070041,0.4405720822005335,0.3264306022845432
ENSMUSG00000064370,0.25422712272000014,0.4139988765563819,0.42776252020847466,0.4341709153470001,0.4343681865844498,0.44173045126042704,0.43749156863376254,0.4483483628802917,0.4446448688238032,0.44877304637542537,0.4416206176840804,0.4320396432608146,0.4484426754081406,0.4355228102817983,0.4582787913159137,0.4198068098356518,0.41789895180366,0.4293095985518112,0.41843853916060414,0.45263483283210176,0.4594898059731861,0.7651761105061465,0.7663220275722341,0.4470035205404772,0.4069881817478288,0.4392096992698847,0.627564307294127,0.7380126335127929,0.4356607641521214,0.635701392831311,0.5502609852034702,0.4346759516699788,0.6561391883602661,0.4282125816645896,0.6307319886937125,0.665952107747728,0.43084381361108376,0.43123053358072333,0.6458390539902026,0.48861299970161726,0.42346574397175957,0.4932432432432421,0.42890063861337047,0.3851351351351351,0.49099099324324413,0.5945945945945947,0.23727303163771574,0.48883864303552393,0.4265451591378432,0.1925654883960105,0.22376261039629877,0.4117390462378801,0.5841173951629702,0.4274538543177383,0.4063962602247147,0.4211524480762588,0.4156700386869569,0.4307870899399233,0.43589031276419166,0.4543034158614936,0.41891928883461044,0.48648648648648773,0.33783783783783683,0.6523823110295028,0.0810810810810807,0.5067567567567544,0.27745380513870427,0.43959653032704143,0.25829669339413036,0.781696506744076,0.6549696980716507,0.2582966933941303,0.4186534918271157,0.6590250474018498,0.2720968422716566,0.6400384435303579,0.646117155131256,0.41322180654617335,0.6270386580619773,0.6184799196901634,0.655671995473154,1.0,0.30503768222154987,0.0,0.7837837837837842,0.0,0.4307965793741437,0.16202323447901004,0.4307965793741436,0.5803815149787882,0.6560091222022978,0.44418483674486203,0.6554195937648225,0.6321090745804208,0.6091248626430794,0.5563696965117435,0.4886777250304359,0.5552057252908372,0.21190755896624883,0.1761605881582686
ENSMUSG00000064351,0.1983757163762163,0.13867764170200686,0.11459126531084425,0.47686576643212736,0.10303134915288768,0.09014738596992733,0.17582158943140355,0.078566040635164,0.0850471552340188,0.07782284451868016,0.09033959472853387,0.10710629996924924,0.07840099371142852,0.10101075768252789,0.061187790872825464,0.1285137584632844,0.13185251001927004,0.11188387821000527,0.3845691594719386,0.07106471821949635,0.9092474544955481,0.8571231585257995,0.6415868197738779,0.5147999327454694,0.27468449929076094,0.5064266321130494,0.5144533986055626,0.8499748751064957,0.48560621275550486,0.6351810296427216,0.6519661724262836,0.47982864619360177,0.5773570227803125,0.17819069243695615,0.649240807202756,0.5495936410987134,0.45734676958141807,0.4596155267366369,0.6064988663639067,0.49032510682523467,0.41406209436405034,0.0,0.11259955810227666,0.18918918918918926,0.16216216216216206,0.29729729729729737,0.19009441468785213,0.45918634231547667,0.17861641732834407,0.19501634603133372,0.19158180050577236,0.1426323447593851,0.5973975035832257,0.4374590083937916,0.31392112304805464,0.12615889154222207,0.18139304376736548,0.17753337118915435,0.10036762833833933,0.0681446979180605,0.8313520615894822,0.783783783783784,0.6756756756756757,0.506361661679208,0.4864864864864866,0.9999999999999998,0.2540508260078578,0.5086960409817021,0.6753455172061695,0.8614706312199915,0.5806658245724926,0.6753455172061695,0.13053206497822253,0.5691921532968075,0.1862606006906926,0.49063913851821284,0.6057120436233655,0.27371721268412125,0.6596902304535186,0.5317963203949478,0.5786788368023855,0.9189189189189189,0.18263408621743152,0.3378378378378377,0.21621621621621623,0.21621621621621623,0.4570696620580363,0.4998610723168483,0.45706966205803606,0.604529638480301,0.577725014837003,0.5356141052995829,0.4612751244342348,0.5057770246953655,0.5496559747575627,0.6030964819600988,0.48139301591428946,0.6124082517273481,0.582884943875558,0.5139984259961069
